File,Red,Green,Blue
../data/ColorCast/TrainingImages/img0001.jpg,18,-15,-25
../data/ColorCast/TrainingImages/img0002.jpg,5,16,-8
../data/ColorCast/TrainingImages/img0003.jpg,32,15,-1
../data/ColorCast/TrainingImages/img0004.jpg,-7,-13,14
../data/ColorCast/TrainingImages/img0005.jpg,-3,-40,-8
../data/ColorCast/TrainingImages/img0006.jpg,20,-22,-11
../data/ColorCast/TrainingImages/img0007.jpg,3,2,8
../data/ColorCast/TrainingImages/img0008.jpg,26,22,7
../data/ColorCast/TrainingImages/img0009.jpg,15,-15,-9
../data/ColorCast/TrainingImages/img0010.jpg,-14,-33,13
../data/ColorCast/TrainingImages/img0011.jpg,-41,-2,-3
../data/ColorCast/TrainingImages/img0012.jpg,0,-2,-22
../data/ColorCast/TrainingImages/img0013.jpg,-7,36,33
../data/ColorCast/TrainingImages/img0014.jpg,0,10,-22
../data/ColorCast/TrainingImages/img0015.jpg,-13,-8,46
../data/ColorCast/TrainingImages/img0016.jpg,-9,-1,25
../data/ColorCast/TrainingImages/img0017.jpg,1,11,-27
../data/ColorCast/TrainingImages/img0018.jpg,34,6,3
../data/ColorCast/TrainingImages/img0019.jpg,-3,-12,-8
../data/ColorCast/TrainingImages/img0020.jpg,21,20,1
../data/ColorCast/TrainingImages/img0021.jpg,9,9,7
../data/ColorCast/TrainingImages/img0022.jpg,13,16,-24
../data/ColorCast/TrainingImages/img0023.jpg,31,-12,-22
../data/ColorCast/TrainingImages/img0024.jpg,4,-31,17
../data/ColorCast/TrainingImages/img0025.jpg,16,39,-35
../data/ColorCast/TrainingImages/img0026.jpg,5,4,-19
../data/ColorCast/TrainingImages/img0027.jpg,-34,7,-14
../data/ColorCast/TrainingImages/img0028.jpg,23,3,-7
../data/ColorCast/TrainingImages/img0029.jpg,47,32,-9
../data/ColorCast/TrainingImages/img0030.jpg,-23,-13,-8
../data/ColorCast/TrainingImages/img0031.jpg,16,8,3
../data/ColorCast/TrainingImages/img0032.jpg,22,-20,-10
../data/ColorCast/TrainingImages/img0033.jpg,-16,-18,0
../data/ColorCast/TrainingImages/img0034.jpg,13,-20,-43
../data/ColorCast/TrainingImages/img0035.jpg,-13,8,20
../data/ColorCast/TrainingImages/img0036.jpg,6,28,-10
../data/ColorCast/TrainingImages/img0037.jpg,-19,-17,-22
../data/ColorCast/TrainingImages/img0038.jpg,10,-12,4
../data/ColorCast/TrainingImages/img0039.jpg,6,1,25
../data/ColorCast/TrainingImages/img0040.jpg,-23,-14,1
../data/ColorCast/TrainingImages/img0041.jpg,23,38,-23
../data/ColorCast/TrainingImages/img0042.jpg,5,19,-9
../data/ColorCast/TrainingImages/img0043.jpg,27,-15,16
../data/ColorCast/TrainingImages/img0044.jpg,22,52,-13
../data/ColorCast/TrainingImages/img0045.jpg,-1,-35,-6
../data/ColorCast/TrainingImages/img0046.jpg,2,-10,-22
../data/ColorCast/TrainingImages/img0047.jpg,22,2,-1
../data/ColorCast/TrainingImages/img0048.jpg,18,18,-30
../data/ColorCast/TrainingImages/img0049.jpg,11,22,-35
../data/ColorCast/TrainingImages/img0050.jpg,30,-19,-34
../data/ColorCast/TrainingImages/img0051.jpg,11,-18,12
../data/ColorCast/TrainingImages/img0052.jpg,29,13,-3
../data/ColorCast/TrainingImages/img0053.jpg,-2,22,4
../data/ColorCast/TrainingImages/img0054.jpg,-48,7,23
../data/ColorCast/TrainingImages/img0055.jpg,-7,13,11
../data/ColorCast/TrainingImages/img0056.jpg,4,17,-38
../data/ColorCast/TrainingImages/img0057.jpg,17,27,52
../data/ColorCast/TrainingImages/img0058.jpg,-12,-30,-33
